EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0124,CLEAN AFTER WINDOW ETCH
valid_0125,MEASURE VIA CD
valid_0126,STRIP RESIST
valid_0127,CLEAN AFTER VIA ETCH
valid_0128,STRIP RESIST
valid_0129,HARD BAKE
valid_0130,ETCH SILICON OR OXIDE WINDOW
valid_0131,MEASURE VIA CD
valid_0132,CLEAN AFTER WINDOW ETCH
valid_0133,ANNEAL OXIDE
valid_0134,CLEAN PAD OPENING
valid_0135,DEPOSIT TUNGSTEN SEED
valid_0136,CLEAN AFTER WINDOW ETCH
valid_0137,MEASURE VIA CD
valid_0138,HARD BAKE
valid_0139,CLEAN AFTER VIA ETCH
valid_0140,STRIP RESIST
valid_0141,IMPLANT LDD
valid_0142,STRIP PHOTORESIST
valid_0143,MEASURE SHEET RESISTANCE
valid_0144,ETCH SILICON OR OXIDE WINDOW
valid_0145,MEASURE VIA CD
valid_0146,HARD BAKE
valid_0147,MEASURE VIA CD
valid_0148,STRIP RESIST
valid_0149,MEASURE VIA CD
valid_0150,MEASURE WINDOW CD
valid_0151,MEASURE VIA CD
valid_0152,DEVELOP PHOTORESIST
valid_0153,MEASURE VIA CD
valid_0154,DEVELOP PHOTORESIST
valid_0155,CLEAN AFTER VIA ETCH
valid_0156,STRIP PHOTORESIST
valid_0157,IMPLANT LDD
valid_0158,HARD BAKE
valid_0159,MEASURE VIA CD
valid_0160,STRIP PHOTORESIST
valid_0161,STRIP RESIST
valid_0162,ETCH SILICON OR OXIDE WINDOW
valid_0163,MEASURE VIA CD
valid_0164,STRIP PHOTORESIST
valid_0165,MEASURE VIA CD
valid_0166,STRIP RESIST
valid_0167,IMPLANT LDD
valid_0168,CLEAN AFTER METAL ETCH
valid_0169,STRIP PHOTORESIST
valid_0170,STRIP PHOTORESIST
valid_0171,DEPOSIT TUNGSTEN SEED
valid_0172,STRIP PHOTORESIST
valid_0173,MEASURE VIA CD
valid_0174,HARD BAKE
valid_0175,MEASURE VIA CD
valid_0176,STRIP PHOTORESIST
valid_0177,MEASURE FILM THICKNESS
valid_0178,STRIP RESIST
valid_0179,ANNEAL METAL
valid_0180,MEASURE WINDOW CD
valid_0181,STRIP RESIST
valid_0182,OXIDE STRIP
valid_0183,IMPLANT LDD
valid_0184,STRIP RESIST
valid_0185,IMPLANT N-TYPE
valid_0186,STRIP RESIST
valid_0187,STRIP RESIST
valid_0188,STRIP RESIST
valid_0189,MEASURE VIA CD
valid_0190,HARD BAKE
valid_0191,HARD BAKE
valid_0192,MEASURE WINDOW CD
valid_0193,CLEAN AFTER VIA ETCH
valid_0194,ETCH SILICON OR OXIDE WINDOW
valid_0195,MEASURE VIA CD
valid_0196,CLEAN AFTER WINDOW ETCH
valid_0197,STRIP RESIST
valid_0198,STRIP PHOTORESIST
valid_0199,MEASURE VIA CD
valid_0200,STRIP RESIST
valid_0201,SPIN COAT PHOTORESIST
valid_0202,IMPLANT SOURCE REGION
valid_0203,SPIN COAT PHOTORESIST
valid_0204,IMPLANT SOURCE DRAIN
valid_0205,SPIN COAT PHOTORESIST
valid_0206,RAPID THERMAL ANNEAL
valid_0207,SPIN COAT PHOTORESIST
valid_0208,IMPLANT SOURCE REGION
valid_0209,SPIN COAT PHOTORESIST
valid_0210,IMPLANT SOURCE REGION
valid_0211,MEASURE SURFACE PARTICLES
valid_0212,IMPLANT SOURCE REGION
valid_0213,SPIN COAT PHOTORESIST
valid_0214,RAPID THERMAL ANNEAL
valid_0215,MEASURE PLANARITY
valid_0216,MEASURE SURFACE PARTICLES
valid_0217,CMP DIELECTRIC
valid_0218,MEASURE GEOMETRY
valid_0219,ALIGN MASK LEVEL 5
valid_0220,MEASURE SURFACE PARTICLES
valid_0221,MEASURE PLANARITY
valid_0222,MEASURE FILM THICKNESS
valid_0223,MEASURE PLANARITY
valid_0224,RAPID THERMAL ANNEAL
valid_0225,SPIN COAT PHOTORESIST
valid_0226,RCA CLEAN 1
valid_0227,SPIN COAT PHOTORESIST
valid_0228,IMPLANT SOURCE DRAIN
valid_0229,SPIN COAT PHOTORESIST
valid_0230,MEASURE SURFACE UNIFORMITY
valid_0231,DENSIFY DIELECTRIC
valid_0232,MEASURE GEOMETRY
valid_0233,ALIGN MASK LEVEL 5
valid_0234,RAPID THERMAL ANNEAL
valid_0235,CMP DIELECTRIC
valid_0236,MEASURE GEOMETRY
valid_0237,SPIN COAT PHOTORESIST
valid_0238,MEASURE SURFACE DEFECTS
valid_0239,MEASURE PLANARITY
valid_0240,RCA CLEAN 1
valid_0241,SPIN COAT PHOTORESIST
valid_0242,MEASURE SURFACE DEFECTS
valid_0243,CMP DIELECTRIC
valid_0244,MEASURE SURFACE UNIFORMITY
valid_0245,SPIN COAT PHOTORESIST
valid_0246,MEASURE FILM THICKNESS
valid_0247,SPIN COAT PHOTORESIST
valid_0248,RCA CLEAN 1
valid_0249,ALIGN MASK LEVEL 5
valid_0250,RAPID THERMAL ANNEAL
valid_0251,MEASURE PLANARITY
valid_0252,MEASURE SURFACE PARTICLES
valid_0253,SPIN COAT PHOTORESIST
valid_0254,MEASURE SURFACE PARTICLES
valid_0255,MEASURE PLANARITY
valid_0256,MEASURE FILM THICKNESS
valid_0257,SPIN COAT PHOTORESIST
valid_0258,RCA CLEAN 1
valid_0259,MEASURE PLANARITY
valid_0260,RAPID THERMAL ANNEAL
valid_0261,MEASURE PLANARITY
valid_0262,RCA CLEAN 1
valid_0263,CMP DIELECTRIC
valid_0264,MEASURE SURFACE DEFECTS
valid_0265,MEASURE DIELECTRIC THICKNESS
valid_0266,MEASURE SURFACE PARTICLES
valid_0267,ALIGN MASK LEVEL 5
valid_0268,MEASURE SURFACE PARTICLES
valid_0269,SPIN COAT PHOTORESIST
valid_0270,MEASURE SURFACE PARTICLES
valid_0271,MEASURE PLANARITY
valid_0272,IMPLANT LDD
valid_0273,SPIN COAT PHOTORESIST
valid_0274,IMPLANT SOURCE REGION
valid_0275,SPIN COAT PHOTORESIST
valid_0276,MEASURE SURFACE PARTICLES
valid_0277,SPIN COAT PHOTORESIST
valid_0278,MEASURE SURFACE PARTICLES
valid_0279,SPIN COAT PHOTORESIST
valid_0280,RAPID THERMAL ANNEAL
valid_0281,DENSIFY DIELECTRIC
valid_0282,CLEAN AFTER METAL ETCH
valid_0283,MEASURE PLANARITY
valid_0284,RCA CLEAN 1
valid_0285,MEASURE DIELECTRIC THICKNESS
valid_0286,IMPLANT SOURCE REGION
valid_0287,EXPOSE LITHO LEVEL 5
valid_0288,MEASURE FILM THICKNESS
valid_0289,SPIN COAT PHOTORESIST
valid_0290,IMPLANT SOURCE DRAIN
valid_0291,SPIN COAT PHOTORESIST
valid_0292,MEASURE SURFACE PARTICLES
valid_0293,SPIN COAT PHOTORESIST
valid_0294,IMPLANT SOURCE REGION
valid_0295,MEASURE SURFACE PARTICLES
valid_0296,RAPID THERMAL ANNEAL
valid_0297,SPIN COAT PHOTORESIST
valid_0298,HARD BAKE
valid_0299,MEASURE PLANARITY
valid_0300,RCA CLEAN 1
valid_0301,MEASURE SURFACE PARTICLES
valid_0302,RAPID THERMAL ANNEAL
valid_0303,SPIN COAT PHOTORESIST
valid_0304,MEASURE GEOMETRY
valid_0305,SPIN COAT PHOTORESIST
valid_0306,MEASURE SURFACE PARTICLES
valid_0307,MEASURE PLANARITY
valid_0308,RAPID THERMAL ANNEAL
valid_0309,SPIN COAT PHOTORESIST
valid_0310,RAPID THERMAL ANNEAL
valid_0311,MEASURE PLANARITY
valid_0312,MEASURE SURFACE DEFECTS
valid_0313,CMP DIELECTRIC
valid_0314,IMPLANT SOURCE DRAIN
valid_0315,SPIN COAT PHOTORESIST
valid_0316,MEASURE SURFACE UNIFORMITY
valid_0317,SPIN COAT PHOTORESIST
valid_0318,MEASURE SURFACE PARTICLES
valid_0319,MEASURE PLANARITY
valid_0320,MEASURE SURFACE PARTICLES
valid_0321,SPIN COAT PHOTORESIST
valid_0322,MEASURE SURFACE PARTICLES
valid_0323,ALIGN MASK LEVEL 5
valid_0324,HARD BAKE
valid_0325,SPIN COAT PHOTORESIST
valid_0326,IMPLANT SOURCE DRAIN
valid_0327,SPIN COAT PHOTORESIST
valid_0328,RAPID THERMAL ANNEAL
valid_0329,MEASURE PLANARITY
valid_0330,MEASURE SURFACE PARTICLES
valid_0331,MEASURE PLANARITY
valid_0332,MEASURE SURFACE DEFECTS
valid_0333,DENSIFY DIELECTRIC
valid_0334,MEASURE GEOMETRY
valid_0335,SPIN COAT PHOTORESIST
valid_0336,MEASURE SURFACE PARTICLES
valid_0337,CMP DIELECTRIC
valid_0338,IMPLANT SOURCE REGION
valid_0339,ALIGN MASK LEVEL 5
valid_0340,IMPLANT LDD
valid_0341,SPIN COAT PHOTORESIST
valid_0342,IMPLANT LDD
valid_0343,SPIN COAT PHOTORESIST
valid_0344,MEASURE SURFACE PARTICLES
valid_0345,SPIN COAT PHOTORESIST
valid_0346,MEASURE SURFACE PARTICLES
valid_0347,SPIN COAT PHOTORESIST
valid_0348,IMPLANT SOURCE REGION
valid_0349,DEPOSIT SPACER DIELECTRIC
valid_0350,CLEAN AFTER METAL ETCH
valid_0351,CMP DIELECTRIC
valid_0352,IMPLANT SOURCE DRAIN
valid_0353,ALIGN MASK LEVEL 5
valid_0354,MEASURE SURFACE PARTICLES
valid_0355,SPIN COAT PHOTORESIST
valid_0356,MEASURE GEOMETRY
valid_0357,MEASURE PLANARITY
valid_0358,RCA CLEAN 1
valid_0359,SPIN COAT PHOTORESIST
valid_0360,RAPID THERMAL ANNEAL
valid_0361,SPIN COAT PHOTORESIST
valid_0362,RAPID THERMAL ANNEAL
valid_0363,MEASURE DIELECTRIC THICKNESS
valid_0364,MEASURE GEOMETRY
valid_0365,ALIGN MASK LEVEL 5
valid_0366,IMPLANT SOURCE REGION
valid_0367,MEASURE SURFACE DEFECTS
valid_0368,MEASURE SURFACE PARTICLES
valid_0369,SPIN COAT PHOTORESIST
valid_0370,IMPLANT LDD
valid_0371,CMP DIELECTRIC
valid_0372,IMPLANT SOURCE REGION
valid_0373,SPIN COAT PHOTORESIST
valid_0374,MEASURE SURFACE PARTICLES
valid_0375,MEASURE SHEET RESISTANCE
valid_0376,CLEAN AFTER METAL ETCH
valid_0377,CMP DIELECTRIC
valid_0378,RAPID THERMAL ANNEAL
valid_0379,CMP DIELECTRIC
valid_0380,MEASURE SURFACE PARTICLES
valid_0381,SPIN COAT PHOTORESIST
valid_0382,MEASURE SURFACE UNIFORMITY
valid_0383,ALIGN MASK LEVEL 5
valid_0384,MEASURE SURFACE PARTICLES
valid_0385,MEASURE PLANARITY
valid_0386,MEASURE SURFACE UNIFORMITY
valid_0387,ALIGN MASK LEVEL 5
valid_0388,MEASURE SURFACE DEFECTS
valid_0389,MEASURE PLANARITY
valid_0390,RCA CLEAN 1
valid_0391,SPIN COAT PHOTORESIST
valid_0392,IMPLANT SOURCE REGION
valid_0393,MEASURE PLANARITY
valid_0394,RAPID THERMAL ANNEAL
valid_0395,SPIN COAT PHOTORESIST
valid_0396,MEASURE FILM THICKNESS
valid_0397,SPIN COAT PHOTORESIST
valid_0398,MEASURE SURFACE DEFECTS
valid_0399,MEASURE PLANARITY
valid_0400,IMPLANT SOURCE REGION
valid_0401,DEPOSIT TUNGSTEN SEED
valid_0402,ETCH SILICON OR OXIDE WINDOW
valid_0403,MEASURE VIA CD
valid_0404,ETCH SILICON OR OXIDE WINDOW
valid_0405,MEASURE VIA CD
valid_0406,MEASURE FILM THICKNESS
valid_0407,STRIP RESIST
valid_0408,MEASURE SURFACE PARTICLES
valid_0409,STRIP RESIST
valid_0410,RAPID THERMAL ANNEAL
valid_0411,CLEAN AFTER VIA ETCH
valid_0412,DEPOSIT PASSIVATION
valid_0413,STRIP RESIST
valid_0414,MEASURE FILM THICKNESS
valid_0415,CLEAN AFTER VIA ETCH
valid_0416,ETCH SILICON OR OXIDE WINDOW
valid_0417,CLEAN AFTER VIA ETCH
valid_0418,ETCH SILICON OR OXIDE WINDOW
valid_0419,STRIP RESIST
valid_0420,RCA CLEAN 1
valid_0421,MEASURE VIA CD
valid_0422,HARD BAKE
valid_0423,MEASURE VIA CD
valid_0424,HARD BAKE
valid_0425,CLEAN AFTER VIA ETCH
valid_0426,ETCH SILICON OR OXIDE WINDOW
valid_0427,CLEAN AFTER VIA ETCH
valid_0428,HARD BAKE
valid_0429,STRIP RESIST
valid_0430,ETCH SILICON OR OXIDE WINDOW
valid_0431,MEASURE VIA CD
valid_0432,ETCH SILICON OR OXIDE WINDOW
valid_0433,STRIP RESIST
valid_0434,ETCH SILICON OR OXIDE WINDOW
valid_0435,HARD BAKE
valid_0436,ETCH SILICON OR OXIDE WINDOW
valid_0437,CLEAN AFTER VIA ETCH
valid_0438,ETCH SILICON OR OXIDE WINDOW
valid_0439,CLEAN AFTER VIA ETCH
valid_0440,ETCH SILICON OR OXIDE WINDOW
valid_0441,STRIP RESIST
valid_0442,DEPOSIT PASSIVATION
valid_0443,DEPOSIT BARRIER METAL
valid_0444,DEPOSIT PASSIVATION
valid_0445,CLEAN AFTER VIA ETCH
valid_0446,DEPOSIT PASSIVATION
valid_0447,CLEAN AFTER VIA ETCH
valid_0448,ETCH SILICON OR OXIDE WINDOW
valid_0449,CLEAN AFTER VIA ETCH
valid_0450,ETCH SILICON OR OXIDE WINDOW
valid_0451,MEASURE VIA CD
valid_0452,ETCH SILICON OR OXIDE WINDOW
valid_0453,MEASURE VIA CD
valid_0454,ETCH SILICON OR OXIDE WINDOW
valid_0455,DEPOSIT BARRIER METAL
valid_0456,ETCH SILICON OR OXIDE WINDOW
valid_0457,STRIP RESIST
valid_0458,MEASURE FILM THICKNESS
valid_0459,HARD BAKE
valid_0460,MEASURE FILM THICKNESS
valid_0461,MEASURE VIA CD
valid_0462,ETCH SILICON OR OXIDE WINDOW
valid_0463,MEASURE VIA CD
valid_0464,ETCH SILICON OR OXIDE WINDOW
valid_0465,HARD BAKE
valid_0466,CLEAN AFTER VIA ETCH
valid_0467,CLEAN AFTER VIA ETCH
valid_0468,DEPOSIT PASSIVATION
valid_0469,CLEAN AFTER VIA ETCH
valid_0470,HARD BAKE
valid_0471,DEPOSIT BARRIER METAL
valid_0472,ETCH SILICON OR OXIDE WINDOW
valid_0473,STRIP RESIST
valid_0474,MEASURE FILM THICKNESS
valid_0475,HARD BAKE
valid_0476,MEASURE FILM THICKNESS
valid_0477,CLEAN AFTER VIA ETCH
valid_0478,HARD BAKE
valid_0479,CLEAN AFTER VIA ETCH
valid_0480,ETCH SILICON OR OXIDE WINDOW
valid_0481,MEASURE VIA CD
valid_0482,RCA CLEAN 1
valid_0483,DEPOSIT TUNGSTEN SEED
valid_0484,ETCH SILICON OR OXIDE WINDOW
valid_0485,DEPOSIT BARRIER METAL
valid_0486,DEVELOP PHOTORESIST
valid_0487,CLEAN AFTER VIA ETCH
valid_0488,MEASURE FILM THICKNESS
valid_0489,CLEAN AFTER VIA ETCH
valid_0490,HARD BAKE
valid_0491,STRIP RESIST
valid_0492,ETCH SILICON OR OXIDE WINDOW
valid_0493,MEASURE VIA CD
valid_0494,ETCH SILICON OR OXIDE WINDOW
valid_0495,CLEAN AFTER VIA ETCH
valid_0496,MEASURE FILM THICKNESS
valid_0497,MEASURE VIA CD
valid_0498,ETCH SILICON OR OXIDE WINDOW
valid_0499,CLEAN AFTER VIA ETCH
valid_0500,ETCH SILICON OR OXIDE WINDOW
valid_0501,CLEAN AFTER VIA ETCH
valid_0502,ETCH SILICON OR OXIDE WINDOW
valid_0503,DEPOSIT BARRIER METAL
valid_0504,HARD BAKE
valid_0505,STRIP RESIST
valid_0506,RAPID THERMAL ANNEAL
valid_0507,STRIP RESIST
valid_0508,ETCH SILICON OR OXIDE WINDOW
valid_0509,CLEAN AFTER VIA ETCH
valid_0510,MEASURE FILM THICKNESS
valid_0511,HARD BAKE
valid_0512,DEPOSIT PASSIVATION
valid_0513,MEASURE VIA CD
valid_0514,ETCH SILICON OR OXIDE WINDOW
valid_0515,MEASURE VIA CD
valid_0516,ETCH SILICON OR OXIDE WINDOW
valid_0517,MEASURE VIA CD
valid_0518,ETCH SILICON OR OXIDE WINDOW
valid_0519,MEASURE VIA CD
valid_0520,ETCH SILICON OR OXIDE WINDOW
valid_0521,MEASURE VIA CD
valid_0522,DEVELOP PHOTORESIST
valid_0523,STRIP RESIST
valid_0524,DEPOSIT PASSIVATION
valid_0525,MEASURE VIA CD
valid_0526,ETCH SILICON OR OXIDE WINDOW
valid_0527,DEPOSIT BARRIER METAL
valid_0528,ETCH SILICON OR OXIDE WINDOW
valid_0529,CLEAN AFTER VIA ETCH
valid_0530,CLEAN AFTER VIA ETCH
valid_0531,DEPOSIT BARRIER METAL
valid_0532,HARD BAKE
valid_0533,DEPOSIT TUNGSTEN SEED
valid_0534,ETCH SILICON OR OXIDE WINDOW
valid_0535,IMPLANT P BODY
valid_0536,HARD BAKE
valid_0537,MEASURE VIA CD
valid_0538,DEVELOP PHOTORESIST
valid_0539,STRIP RESIST
valid_0540,HARD BAKE
valid_0541,STRIP RESIST
valid_0542,DEPOSIT PASSIVATION
valid_0543,MEASURE VIA CD
valid_0544,DEPOSIT PASSIVATION
valid_0545,DEPOSIT BARRIER METAL
valid_0546,ETCH SILICON OR OXIDE WINDOW
valid_0547,CLEAN AFTER VIA ETCH
valid_0548,DEVELOP PHOTORESIST
valid_0549,ANNEAL OXIDE
valid_0550,HARD BAKE
valid_0551,CLEAN AFTER VIA ETCH
valid_0552,ETCH SILICON OR OXIDE WINDOW
valid_0553,MEASURE VIA CD
valid_0554,ETCH SILICON OR OXIDE WINDOW
valid_0555,METAL ETCH
valid_0556,HARD BAKE
valid_0557,MEASURE VIA CD
valid_0558,ETCH SILICON OR OXIDE WINDOW
valid_0559,MEASURE VIA CD
valid_0560,ETCH SILICON OR OXIDE WINDOW
valid_0561,STRIP RESIST
valid_0562,RCA CLEAN 1
valid_0563,CLEAN AFTER VIA ETCH
valid_0564,HARD BAKE
valid_0565,STRIP RESIST
valid_0566,HARD BAKE
valid_0567,MEASURE VIA CD
valid_0568,ETCH SILICON OR OXIDE WINDOW
valid_0569,STRIP RESIST
valid_0570,ETCH SILICON OR OXIDE WINDOW
valid_0571,STRIP RESIST
valid_0572,DEPOSIT PASSIVATION
valid_0573,CLEAN AFTER VIA ETCH
valid_0574,DEPOSIT PASSIVATION
valid_0575,MEASURE VIA CD
valid_0576,ETCH SILICON OR OXIDE WINDOW
valid_0577,CLEAN AFTER VIA ETCH
valid_0578,DEVELOP PHOTORESIST
valid_0579,STRIP RESIST
valid_0580,ETCH SILICON OR OXIDE WINDOW
valid_0581,CLEAN AFTER VIA ETCH
valid_0582,ETCH SILICON OR OXIDE WINDOW
valid_0583,HARD BAKE
valid_0584,DEPOSIT PASSIVATION
valid_0585,STRIP RESIST
valid_0586,ETCH SILICON OR OXIDE WINDOW
valid_0587,STRIP RESIST
valid_0588,RCA CLEAN 1
valid_0589,DEVELOP PHOTORESIST
valid_0590,MEASURE SURFACE PARTICLES
valid_0591,STRIP RESIST
valid_0592,DEPOSIT PASSIVATION
valid_0593,STRIP RESIST
valid_0594,ETCH SILICON OR OXIDE WINDOW
valid_0595,CLEAN AFTER VIA ETCH
valid_0596,ETCH SILICON OR OXIDE WINDOW
valid_0597,CLEAN AFTER VIA ETCH
valid_0598,DEPOSIT PASSIVATION
valid_0599,CLEAN AFTER VIA ETCH
valid_0600,ETCH SILICON OR OXIDE WINDOW
