EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0189,STRIP RESIST
valid_0190,MEASURE VIA CD
valid_0191,STRIP RESIST
valid_0192,MEASURE VIA CD
valid_0193,ETCH WET BACKSIDE
valid_0194,CLEAN AFTER VIA ETCH
valid_0195,ETCH WET BACKSIDE
valid_0196,DEPOSIT BARRIER METAL
valid_0197,ETCH SILICON OR OXIDE WINDOW
valid_0198,MEASURE VIA CD
valid_0199,STRIP PHOTORESIST
