EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0057,STRIP RESIST
valid_0058,DEPOSIT TUNGSTEN SEED
valid_0059,PAD WINDOW LITHO
valid_0060,MEASURE VIA CD
valid_0061,CLEAN AFTER OXIDE ETCH
valid_0062,MEASURE VIA CD
valid_0063,CLEAN AFTER OXIDE ETCH
valid_0064,MEASURE PLANARITY
valid_0065,FIELD PATTERN INSPECTION
valid_0066,STRIP RESIST
valid_0067,VIA INSPECTION
valid_0068,STRIP PHOTORESIST
valid_0069,FIELD PATTERN INSPECTION
valid_0070,CLEAN AFTER VIA ETCH
valid_0071,CLEAN AFTER OXIDE ETCH
valid_0072,MEASURE PLANARITY
valid_0073,STRIP RESIST
valid_0074,CLEAN AFTER VIA ETCH
valid_0075,FIELD PATTERN INSPECTION
valid_0076,MEASURE VIA CD
valid_0077,STRIP RESIST
valid_0078,MEASURE VIA CD
valid_0079,STRIP RESIST
valid_0080,MEASURE VIA CD
valid_0081,STRIP RESIST
valid_0082,STRIP RESIST
valid_0083,LOT RELEASE
valid_0084,DEPOSIT BARRIER METAL
valid_0085,SOFT BAKE
valid_0086,DEPOSIT TUNGSTEN SEED
valid_0087,CLEAN AFTER OXIDE ETCH
valid_0088,MEASURE VIA CD
valid_0089,STRIP RESIST
valid_0090,DEPOSIT TUNGSTEN SEED
valid_0091,STRIP RESIST
valid_0092,SPIN COAT PHOTORESIST
valid_0093,MEASURE WINDOW CD
valid_0094,VIA ETCH
valid_0095,DEPOSIT INTERLAYER DIELECTRIC
valid_0096,MEASURE VIA CD
valid_0097,MEASURE FILM THICKNESS
valid_0098,CLEAN AFTER VIA ETCH
valid_0099,VIA INSPECTION
valid_0100,CLEAN AFTER VIA ETCH
valid_0101,DEPOSIT INTERLEVEL DIELECTRIC
valid_0102,MEASURE VIA CD
valid_0103,DEPOSIT INTERLEVEL DIELECTRIC
valid_0104,STRIP RESIST
valid_0105,SOFT BAKE
valid_0106,IMPLANT P BODY
valid_0107,STRIP RESIST
valid_0108,STRIP RESIST
valid_0109,VIA INSPECTION
valid_0110,DEPOSIT TUNGSTEN SEED
valid_0111,MEASURE WINDOW CD
valid_0112,MEASURE VIA CD
valid_0113,STRIP RESIST
valid_0114,IMPLANT P BODY
valid_0115,CLEAN AFTER OXIDE ETCH
valid_0116,STRIP PHOTORESIST
valid_0117,DEVELOP PHOTORESIST
valid_0118,MEASURE VIA CD
valid_0119,VIA INSPECTION
valid_0120,MEASURE VIA CD
valid_0121,DEPOSIT TOP METAL
valid_0122,CLEAN AFTER VIA ETCH
valid_0123,LOT RELEASE
valid_0124,IMPLANT P BODY
valid_0125,CLEAN AFTER ETCH
valid_0126,STRIP RESIST
valid_0127,DEPOSIT INTERLEVEL DIELECTRIC
valid_0128,MEASURE INITIAL GEOMETRY
valid_0129,CLEAN AFTER ETCH
valid_0130,STRIP PHOTORESIST
valid_0131,LOT RELEASE
valid_0132,CLEAN AFTER VIA ETCH
valid_0133,VIA INSPECTION
valid_0134,MEASURE VIA CD
valid_0135,CLEAN AFTER OXIDE ETCH
valid_0136,MEASURE VIA CD
valid_0137,SOFT BAKE
valid_0138,IMPLANT P BODY
valid_0139,STRIP RESIST
valid_0140,MEASURE VIA CD
valid_0141,IMPLANT N-TYPE
valid_0142,MEASURE VIA CD
valid_0143,CLEAN AFTER OXIDE ETCH
valid_0144,SPIN COAT PHOTORESIST
valid_0145,STRIP RESIST
valid_0146,CLEAN AFTER VIA ETCH
valid_0147,SOFT BAKE
valid_0148,CLEAN AFTER VIA ETCH
valid_0149,STRIP RESIST
valid_0150,DEPOSIT BARRIER METAL
valid_0151,MEASURE WINDOW CD
valid_0152,CLEAN AFTER VIA ETCH
valid_0153,OPEN PAD WINDOW
valid_0154,CLEAN AFTER VIA ETCH
valid_0155,STRIP RESIST
valid_0156,STRIP PHOTORESIST
valid_0157,VIA INSPECTION
valid_0158,CLEAN AFTER VIA ETCH
valid_0159,STRIP RESIST
valid_0160,MEASURE VIA CD
valid_0161,STRIP RESIST
valid_0162,MEASURE VIA CD
valid_0163,DEVELOP PHOTORESIST
valid_0164,CLEAN AFTER VIA ETCH
valid_0165,CLEAN AFTER OXIDE ETCH
valid_0166,STRIP RESIST
valid_0167,DEVELOP PHOTORESIST
valid_0168,CLEAN AFTER VIA ETCH
valid_0169,VIA INSPECTION
valid_0170,CLEAN AFTER VIA ETCH
valid_0171,SOFT BAKE
valid_0172,MEASURE VIA CD
valid_0173,DEPOSIT INTERLEVEL DIELECTRIC
valid_0174,CLEAN AFTER VIA ETCH
valid_0175,STRIP RESIST
valid_0176,CLEAN AFTER VIA ETCH
valid_0177,OPEN PAD WINDOW
valid_0178,IMPLANT P BODY
valid_0179,STRIP RESIST
valid_0180,MEASURE VIA CD
valid_0181,STRIP RESIST
valid_0182,CLEAN AFTER VIA ETCH
valid_0183,OPEN PAD WINDOW
valid_0184,MEASURE VIA CD
valid_0185,MEASURE FILM THICKNESS
valid_0186,MEASURE VIA CD
valid_0187,STRIP RESIST
valid_0188,DEPOSIT TUNGSTEN SEED
valid_0189,STRIP RESIST
valid_0190,MEASURE VIA CD
valid_0191,STRIP RESIST
valid_0192,MEASURE VIA CD
valid_0193,FIELD PATTERN INSPECTION
valid_0194,CLEAN AFTER VIA ETCH
valid_0195,OPEN PAD WINDOW
valid_0196,MEASURE SURFACE PLANARITY
valid_0197,LOT RELEASE
valid_0198,MEASURE VIA CD
valid_0199,STRIP RESIST
