EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0105,ALIGN MASK LEVEL 5
valid_0106,IMPLANT N-TYPE
valid_0107,DEPOSIT PASSIVATION
valid_0108,STRIP RESIST
valid_0109,ALIGN MASK LEVEL 5
valid_0110,ANNEAL POLYSILICON
valid_0111,DEPOSIT PASSIVATION
valid_0112,MEASURE VIA CD
valid_0113,DEPOSIT PASSIVATION
valid_0114,DEPOSIT BARRIER METAL
valid_0115,STRIP RESIST
valid_0116,STRIP RESIST
valid_0117,ETCH SILICON OR OXIDE WINDOW
valid_0118,MEASURE VIA CD
valid_0119,ALIGN MASK LEVEL 5
valid_0120,MEASURE VIA CD
valid_0121,ETCH SILICON OR OXIDE WINDOW
valid_0122,MEASURE VIA CD
valid_0123,ALIGN MASK LEVEL 5
valid_0124,DEPOSIT BARRIER METAL
valid_0125,CLEAN AFTER WINDOW ETCH
valid_0126,STRIP RESIST
valid_0127,ETCH SILICON OR OXIDE WINDOW
valid_0128,ANNEAL POLYSILICON
valid_0129,CLEAN AFTER WINDOW ETCH
valid_0130,STRIP RESIST
valid_0131,ALIGN MASK LEVEL 5
valid_0132,CLEAN AFTER VIA ETCH
valid_0133,ALIGN MASK LEVEL 5
valid_0134,MEASURE VIA CD
valid_0135,CLEAN AFTER WINDOW ETCH
valid_0136,MEASURE VIA CD
valid_0137,ETCH SILICON OR OXIDE WINDOW
valid_0138,IMPLANT N-TYPE
valid_0139,DEPOSIT PASSIVATION
valid_0140,MEASURE VIA CD
valid_0141,ALIGN MASK LEVEL 5
valid_0142,MEASURE VIA CD
valid_0143,MEASURE WINDOW CD
valid_0144,ANNEAL METAL
valid_0145,STRIP RESIST
valid_0146,CLEAN AFTER VIA ETCH
valid_0147,ALIGN MASK LEVEL 5
valid_0148,MEASURE VIA CD
valid_0149,STRIP RESIST
valid_0150,ANNEAL POLYSILICON
valid_0151,DEPOSIT PASSIVATION
valid_0152,MEASURE VIA CD
valid_0153,ETCH SILICON OR OXIDE WINDOW
valid_0154,MEASURE VIA CD
valid_0155,DEPOSIT PASSIVATION
valid_0156,MEASURE VIA CD
valid_0157,ALIGN MASK LEVEL 5
valid_0158,CLEAN AFTER VIA ETCH
valid_0159,STRIP RESIST
valid_0160,MEASURE VIA CD
valid_0161,DEPOSIT PASSIVATION
valid_0162,MEASURE VIA CD
valid_0163,ETCH SILICON OR OXIDE WINDOW
valid_0164,MEASURE VIA CD
valid_0165,STRIP RESIST
valid_0166,STRIP RESIST
valid_0167,ETCH SILICON OR OXIDE WINDOW
valid_0168,MEASURE VIA CD
valid_0169,ALIGN MASK LEVEL 5
valid_0170,CLEAN AFTER VIA ETCH
valid_0171,ETCH SILICON OR OXIDE WINDOW
valid_0172,MEASURE VIA CD
valid_0173,DEVELOP PHOTORESIST
valid_0174,CLEAN AFTER VIA ETCH
valid_0175,DEPOSIT PASSIVATION
valid_0176,CLEAN AFTER VIA ETCH
valid_0177,ALIGN MASK LEVEL 5
valid_0178,IMPLANT LDD
valid_0179,STRIP RESIST
valid_0180,MEASURE VIA CD
valid_0181,STRIP RESIST
valid_0182,CLEAN AFTER VIA ETCH
valid_0183,ALIGN MASK LEVEL 5
valid_0184,MEASURE VIA CD
valid_0185,STRIP RESIST
valid_0186,MEASURE VIA CD
valid_0187,STRIP RESIST
valid_0188,ANNEAL POLYSILICON
valid_0189,STRIP RESIST
valid_0190,MEASURE VIA CD
valid_0191,STRIP RESIST
valid_0192,MEASURE VIA CD
valid_0193,ETCH SILICON OR OXIDE WINDOW
valid_0194,CLEAN AFTER VIA ETCH
valid_0195,ETCH SILICON OR OXIDE WINDOW
valid_0196,ANNEAL DIELECTRIC
valid_0197,ALIGN MASK LEVEL 5
valid_0198,MEASURE VIA CD
valid_0199,STRIP RESIST
