EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0107,MEASURE WINDOW CD
valid_0108,DEPOSIT PAD OXIDE
valid_0109,ETCH SILICON OR OXIDE WINDOW
valid_0110,DEPOSIT BARRIER METAL
valid_0111,CLEAN AFTER WINDOW ETCH
valid_0112,MEASURE VIA CD
valid_0113,PASSIVATION ETCH
valid_0114,DEPOSIT PAD OXIDE
valid_0115,CLEAN AFTER ETCH
valid_0116,MEASURE VIA CD
valid_0117,ETCH SILICON OR OXIDE WINDOW
valid_0118,MEASURE VIA CD
valid_0119,ETCH SILICON OR OXIDE WINDOW
valid_0120,MEASURE VIA CD
valid_0121,ETCH SILICON OR OXIDE WINDOW
valid_0122,MEASURE VIA CD
valid_0123,ETCH SILICON OR OXIDE WINDOW
valid_0124,DEPOSIT PAD OXIDE
valid_0125,MEASURE WINDOW CD
valid_0126,MEASURE VIA CD
valid_0127,ETCH SILICON OR OXIDE WINDOW
valid_0128,MEASURE EPITAXY THICKNESS
valid_0129,MEASURE WINDOW CD
valid_0130,MEASURE VIA CD
valid_0131,ETCH SILICON OR OXIDE WINDOW
valid_0132,MEASURE VIA RESISTANCE
valid_0133,ETCH SILICON OR OXIDE WINDOW
valid_0134,MEASURE VIA CD
valid_0135,MEASURE WINDOW CD
valid_0136,MEASURE VIA CD
valid_0137,ETCH SILICON OR OXIDE WINDOW
valid_0138,IMPLANT SOURCE DRAIN
valid_0139,MEASURE WINDOW CD
valid_0140,MEASURE VIA CD
valid_0141,ETCH SILICON OR OXIDE WINDOW
valid_0142,MEASURE VIA CD
valid_0143,MEASURE WINDOW CD
valid_0144,ANNEAL METAL
valid_0145,CLEAN AFTER WINDOW ETCH
valid_0146,MEASURE VIA CD
valid_0147,ETCH SILICON OR OXIDE WINDOW
valid_0148,MEASURE VIA CD
valid_0149,MEASURE WINDOW CD
valid_0150,MEASURE VIA CD
valid_0151,MEASURE WINDOW CD
valid_0152,MEASURE VIA CD
valid_0153,MEASURE WINDOW CD
valid_0154,MEASURE VIA CD
valid_0155,MEASURE WINDOW CD
valid_0156,MEASURE VIA CD
valid_0157,ETCH SILICON OR OXIDE WINDOW
valid_0158,MEASURE VIA CD
valid_0159,MEASURE WINDOW CD
valid_0160,MEASURE VIA CD
valid_0161,PASSIVATION ETCH
valid_0162,MEASURE VIA CD
valid_0163,ETCH SILICON OR OXIDE WINDOW
valid_0164,MEASURE VIA CD
valid_0165,MEASURE WINDOW CD
valid_0166,MEASURE VIA CD
valid_0167,ETCH SILICON OR OXIDE WINDOW
valid_0168,MEASURE VIA CD
valid_0169,ETCH SILICON OR OXIDE WINDOW
valid_0170,MEASURE VIA CD
valid_0171,ETCH SILICON OR OXIDE WINDOW
valid_0172,MEASURE VIA CD
valid_0173,ETCH SILICON OR OXIDE WINDOW
valid_0174,MEASURE VIA CD
valid_0175,MEASURE WINDOW CD
valid_0176,MEASURE VIA CD
valid_0177,ETCH SILICON OR OXIDE WINDOW
valid_0178,DEPOSIT PAD OXIDE
valid_0179,PASSIVATION ETCH
valid_0180,MEASURE VIA CD
valid_0181,MEASURE WINDOW CD
valid_0182,MEASURE VIA CD
valid_0183,ETCH SILICON OR OXIDE WINDOW
valid_0184,MEASURE VIA CD
valid_0185,MEASURE WINDOW CD
valid_0186,MEASURE VIA CD
valid_0187,MEASURE WINDOW CD
valid_0188,DIELECTRIC ETCH VIA
valid_0189,MEASURE WINDOW CD
valid_0190,MEASURE VIA CD
valid_0191,PASSIVATION ETCH
valid_0192,MEASURE VIA CD
valid_0193,MEASURE WINDOW CD
valid_0194,MEASURE VIA CD
valid_0195,MEASURE WINDOW CD
valid_0196,DEPOSIT PAD OXIDE
valid_0197,ETCH SILICON OR OXIDE WINDOW
valid_0198,MEASURE VIA CD
valid_0199,MEASURE WINDOW CD
