EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0103,ETCH SILICON OR OXIDE WINDOW
valid_0104,MEASURE VIA CD
valid_0105,ETCH SILICON OR OXIDE WINDOW
valid_0106,IMPLANT N-TYPE
valid_0107,CURE PASSIVATION
valid_0108,STRIP PHOTORESIST
valid_0109,ETCH SILICON OR OXIDE WINDOW
valid_0110,ANNEAL METAL
valid_0111,CURE PASSIVATION
valid_0112,MEASURE VIA CD
valid_0113,CURE PASSIVATION
valid_0114,IMPLANT N-TYPE
valid_0115,CLEAN PAD OPENING
valid_0116,STRIP PHOTORESIST
valid_0117,ETCH SILICON OR OXIDE WINDOW
valid_0118,MEASURE VIA CD
valid_0119,ETCH SILICON OR OXIDE WINDOW
valid_0120,MEASURE VIA CD
valid_0121,ETCH SILICON OR OXIDE WINDOW
valid_0122,CLEAN AFTER VIA ETCH
valid_0123,ETCH SILICON OR OXIDE WINDOW
valid_0124,DEPOSIT BARRIER METAL
valid_0125,CLEAN AFTER WINDOW ETCH
valid_0126,HARD BAKE
valid_0127,ETCH SILICON OR OXIDE WINDOW
valid_0128,ANNEAL DIELECTRIC
valid_0129,CLEAN AFTER WINDOW ETCH
valid_0130,STRIP PHOTORESIST
valid_0131,ETCH SILICON OR OXIDE WINDOW
valid_0132,CLEAN AFTER VIA ETCH
valid_0133,ETCH SILICON OR OXIDE WINDOW
valid_0134,MEASURE VIA CD
valid_0135,CLEAN AFTER WINDOW ETCH
valid_0136,MEASURE VIA CD
valid_0137,ETCH SILICON OR OXIDE WINDOW
valid_0138,IMPLANT SOURCE DRAIN
valid_0139,CURE PASSIVATION
valid_0140,MEASURE VIA CD
valid_0141,VIA ETCH THROUGH DIELECTRIC
valid_0142,MEASURE VIA CD
valid_0143,CLEAN AFTER OXIDE ETCH
valid_0144,ANNEAL METAL
valid_0145,STRIP RESIST
valid_0146,CLEAN AFTER VIA ETCH
valid_0147,ETCH SILICON OR OXIDE WINDOW
valid_0148,CLEAN AFTER VIA ETCH
valid_0149,STRIP RESIST
valid_0150,ANNEAL METAL
valid_0151,CLEAN PAD OPENING
valid_0152,CLEAN AFTER VIA ETCH
valid_0153,ETCH SILICON OR OXIDE WINDOW
valid_0154,CLEAN AFTER VIA ETCH
valid_0155,CURE PASSIVATION
valid_0156,MEASURE VIA CD
valid_0157,ETCH SILICON OR OXIDE WINDOW
valid_0158,CLEAN AFTER VIA ETCH
valid_0159,STRIP RESIST
valid_0160,MEASURE VIA CD
valid_0161,CURE PASSIVATION
valid_0162,MEASURE VIA CD
valid_0163,ETCH SILICON OR OXIDE WINDOW
valid_0164,CLEAN AFTER VIA ETCH
valid_0165,STRIP PHOTORESIST
valid_0166,HARD BAKE
valid_0167,ETCH SILICON OR OXIDE WINDOW
valid_0168,CLEAN AFTER VIA ETCH
valid_0169,ETCH SILICON OR OXIDE WINDOW
valid_0170,CLEAN AFTER VIA ETCH
valid_0171,ETCH SILICON OR OXIDE WINDOW
valid_0172,MEASURE VIA CD
valid_0173,ETCH SILICON OR OXIDE WINDOW
valid_0174,CLEAN AFTER VIA ETCH
valid_0175,CLEAN AFTER OXIDE ETCH
valid_0176,CLEAN AFTER VIA ETCH
valid_0177,ETCH SILICON OR OXIDE WINDOW
valid_0178,IMPLANT SOURCE DRAIN
valid_0179,STRIP PHOTORESIST
valid_0180,MEASURE VIA CD
valid_0181,STRIP PHOTORESIST
valid_0182,CLEAN AFTER VIA ETCH
valid_0183,ETCH SILICON OR OXIDE WINDOW
valid_0184,MEASURE VIA CD
valid_0185,STRIP RESIST
valid_0186,MEASURE VIA CD
valid_0187,STRIP PHOTORESIST
valid_0188,ANNEAL METAL
valid_0189,STRIP PHOTORESIST
valid_0190,MEASURE VIA CD
valid_0191,CLEAN AFTER OXIDE ETCH
valid_0192,MEASURE VIA CD
valid_0193,ETCH SILICON OR OXIDE WINDOW
valid_0194,CLEAN AFTER VIA ETCH
valid_0195,ETCH SILICON OR OXIDE WINDOW
valid_0196,IMPLANT SOURCE DRAIN
valid_0197,ETCH SILICON OR OXIDE WINDOW
valid_0198,MEASURE VIA CD
valid_0199,CLEAN AFTER WINDOW ETCH
