EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0077,STRIP RESIST
valid_0078,MEASURE VIA CD
valid_0079,STRIP RESIST
valid_0080,MEASURE VIA CD
valid_0081,STRIP RESIST
valid_0082,MEASURE VIA CD
valid_0083,HARD BAKE
valid_0084,IMPLANT LDD
valid_0085,ETCH SILICON OR OXIDE WINDOW
valid_0086,MEASURE SHEET RESISTANCE
valid_0087,CLEAN AFTER WINDOW ETCH
valid_0088,MEASURE VIA CD
valid_0089,STRIP RESIST
valid_0090,IMPLANT LDD
valid_0091,STRIP RESIST
valid_0092,ANNEAL METAL
valid_0093,MEASURE WINDOW CD
valid_0094,HARD BAKE
valid_0095,DEVELOP PHOTORESIST
valid_0096,MEASURE VIA CD
valid_0097,MEASURE WINDOW CD
valid_0098,CLEAN AFTER VIA ETCH
valid_0099,ETCH SILICON OR OXIDE WINDOW
valid_0100,CLEAN AFTER VIA ETCH
valid_0101,DEVELOP PHOTORESIST
valid_0102,MEASURE VIA CD
valid_0103,OXIDE STRIP
valid_0104,STRIP RESIST
valid_0105,ETCH SILICON OR OXIDE WINDOW
valid_0106,IMPLANT LDD
valid_0107,STRIP PHOTORESIST
valid_0108,STRIP RESIST
valid_0109,HARD BAKE
valid_0110,ANNEAL METAL
valid_0111,STRIP RESIST
valid_0112,MEASURE VIA CD
valid_0113,STRIP RESIST
valid_0114,IMPLANT LDD
valid_0115,CLEAN AFTER WINDOW ETCH
valid_0116,MEASURE VIA CD
valid_0117,ETCH SILICON OR OXIDE WINDOW
valid_0118,MEASURE VIA CD
valid_0119,HARD BAKE
valid_0120,MEASURE VIA CD
valid_0121,ETCH SILICON OR OXIDE WINDOW
valid_0122,CLEAN AFTER VIA ETCH
valid_0123,HARD BAKE
valid_0124,IMPLANT LDD
valid_0125,CLEAN AFTER WINDOW ETCH
valid_0126,MEASURE VIA CD
valid_0127,DEVELOP PHOTORESIST
valid_0128,MEASURE VIA CD
valid_0129,CLEAN AFTER WINDOW ETCH
valid_0130,STRIP PHOTORESIST
valid_0131,HARD BAKE
valid_0132,CLEAN AFTER VIA ETCH
valid_0133,HARD BAKE
valid_0134,MEASURE VIA CD
valid_0135,CLEAN AFTER WINDOW ETCH
valid_0136,MEASURE VIA CD
valid_0137,ETCH SILICON OR OXIDE WINDOW
valid_0138,IMPLANT LDD
valid_0139,STRIP RESIST
valid_0140,MEASURE VIA CD
valid_0141,HARD BAKE
valid_0142,MEASURE VIA CD
valid_0143,CLEAN AFTER POLY ETCH
valid_0144,ANNEAL METAL
valid_0145,STRIP RESIST
valid_0146,CLEAN AFTER VIA ETCH
valid_0147,HARD BAKE
valid_0148,CLEAN AFTER VIA ETCH
valid_0149,STRIP RESIST
valid_0150,MEASURE VIA CD
valid_0151,STRIP PHOTORESIST
valid_0152,CLEAN AFTER VIA ETCH
valid_0153,HARD BAKE
valid_0154,CLEAN AFTER VIA ETCH
valid_0155,STRIP PHOTORESIST
valid_0156,MEASURE VIA CD
valid_0157,HARD BAKE
valid_0158,CLEAN AFTER VIA ETCH
valid_0159,STRIP RESIST
valid_0160,MEASURE VIA CD
valid_0161,MEASURE WINDOW CD
valid_0162,MEASURE VIA CD
valid_0163,ETCH SILICON OR OXIDE WINDOW
valid_0164,CLEAN AFTER VIA ETCH
valid_0165,STRIP RESIST
valid_0166,STRIP RESIST
valid_0167,DEVELOP PHOTORESIST
valid_0168,CLEAN AFTER VIA ETCH
valid_0169,HARD BAKE
valid_0170,MEASURE VIA CD
valid_0171,ETCH SILICON OR OXIDE WINDOW
valid_0172,MEASURE VIA CD
valid_0173,OXIDE STRIP
valid_0174,CLEAN AFTER VIA ETCH
valid_0175,MEASURE WINDOW CD
valid_0176,CLEAN AFTER VIA ETCH
valid_0177,HARD BAKE
valid_0178,IMPLANT LDD
valid_0179,STRIP RESIST
valid_0180,MEASURE VIA CD
valid_0181,STRIP RESIST
valid_0182,CLEAN AFTER VIA ETCH
valid_0183,HARD BAKE
valid_0184,MEASURE VIA CD
valid_0185,CLEAN AFTER WINDOW ETCH
valid_0186,MEASURE VIA CD
valid_0187,STRIP RESIST
valid_0188,ANNEAL METAL
valid_0189,STRIP RESIST
valid_0190,MEASURE VIA CD
valid_0191,MEASURE WINDOW CD
valid_0192,MEASURE VIA CD
valid_0193,HARD BAKE
valid_0194,CLEAN AFTER VIA ETCH
valid_0195,HARD BAKE
valid_0196,IMPLANT LDD
valid_0197,HARD BAKE
valid_0198,MEASURE VIA CD
valid_0199,MEASURE WINDOW CD
