EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
forbidden_0139,0,0.1000,
forbidden_0140,0,0.1000,RULE_ETCH_NO_MASK
forbidden_0141,0,0.1000,
forbidden_0142,1,0.9000,
forbidden_0143,1,0.9000,
forbidden_0144,1,0.9000,
forbidden_0145,1,0.9000,
forbidden_0146,1,0.9000,
forbidden_0147,1,0.9000,
forbidden_0148,0,0.1000,
forbidden_0149,0,0.1000,
forbidden_0150,0,0.1000,
forbidden_0151,0,0.1000,
forbidden_0152,1,0.9000,
forbidden_0153,0,0.1000,
forbidden_0154,1,0.9000,
forbidden_0155,1,0.9000,
forbidden_0156,0,0.1000,
forbidden_0157,0,0.1000,
forbidden_0158,1,0.9000,
forbidden_0159,1,0.9000,
forbidden_0160,0,0.1000,
forbidden_0161,0,0.1000,
forbidden_0162,0,0.1000,
forbidden_0163,0,0.1000,
forbidden_0164,1,0.9000,
forbidden_0165,1,0.9000,
forbidden_0166,1,0.9000,
forbidden_0167,0,0.1000,
forbidden_0168,0,0.1000,
forbidden_0169,0,0.1000,
forbidden_0170,0,0.1000,
forbidden_0171,1,0.9000,
forbidden_0172,1,0.9000,
forbidden_0173,0,0.1000,
forbidden_0174,1,0.9000,
forbidden_0175,0,0.1000,
forbidden_0176,0,0.1000,
forbidden_0177,1,0.9000,
forbidden_0178,0,0.1000,
forbidden_0179,1,0.9000,
forbidden_0180,0,0.1000,
forbidden_0181,0,0.1000,
forbidden_0182,0,0.1000,
forbidden_0183,1,0.9000,
forbidden_0184,0,0.1000,
forbidden_0185,0,0.1000,
forbidden_0186,0,0.1000,
forbidden_0187,0,0.1000,
forbidden_0188,1,0.9000,
forbidden_0189,0,0.1000,
forbidden_0190,0,0.1000,
forbidden_0191,0,0.1000,
forbidden_0192,1,0.9000,
forbidden_0193,0,0.1000,
forbidden_0194,0,0.1000,
forbidden_0195,0,0.1000,
forbidden_0196,0,0.1000,
forbidden_0197,0,0.1000,
forbidden_0198,1,0.9000,
forbidden_0199,0,0.1000,
